datetime,predicted_generation
2025-05-11 00:00:00+00:00,0.0
2025-05-11 01:00:00+00:00,0.0
2025-05-11 02:00:00+00:00,0.0
2025-05-11 03:00:00+00:00,0.0
2025-05-11 04:00:00+00:00,0.0
2025-05-11 05:00:00+00:00,0.0
2025-05-11 06:00:00+00:00,2.465457151163499
2025-05-11 07:00:00+00:00,27.172559727803847
2025-05-11 08:00:00+00:00,51.39448546357608
2025-05-11 09:00:00+00:00,56.39297465011604
2025-05-11 10:00:00+00:00,61.09890712316574
2025-05-11 11:00:00+00:00,66.52879513711937
2025-05-11 12:00:00+00:00,77.12417257308611
2025-05-11 13:00:00+00:00,78.75784244287253
2025-05-11 14:00:00+00:00,79.9807352859148
2025-05-11 15:00:00+00:00,77.30669809243845
2025-05-11 16:00:00+00:00,67.19541233823378
2025-05-11 17:00:00+00:00,46.66204974681392
2025-05-11 18:00:00+00:00,9.223899068405796
2025-05-11 19:00:00+00:00,0.0
2025-05-11 20:00:00+00:00,0.0
2025-05-11 21:00:00+00:00,0.0
2025-05-11 22:00:00+00:00,0.0
2025-05-11 23:00:00+00:00,0.0
2025-05-12 00:00:00+00:00,0.0
2025-05-12 01:00:00+00:00,0.0
2025-05-12 02:00:00+00:00,0.0
2025-05-12 03:00:00+00:00,0.0
2025-05-12 04:00:00+00:00,0.0
2025-05-12 05:00:00+00:00,0.0
2025-05-12 06:00:00+00:00,2.195460072376643
2025-05-12 07:00:00+00:00,23.9710512471764
2025-05-12 08:00:00+00:00,48.836177392312194
2025-05-12 09:00:00+00:00,54.48568757411518
2025-05-12 10:00:00+00:00,58.30639675636751
2025-05-12 11:00:00+00:00,64.51811013636188
2025-05-12 12:00:00+00:00,75.0200773019977
2025-05-12 13:00:00+00:00,78.96355725301746
2025-05-12 14:00:00+00:00,81.49939482643775
2025-05-12 15:00:00+00:00,78.71349077263471
2025-05-12 16:00:00+00:00,73.56769115375481
2025-05-12 17:00:00+00:00,49.222216094881205
2025-05-12 18:00:00+00:00,9.18681610077251
2025-05-12 19:00:00+00:00,0.0
2025-05-12 20:00:00+00:00,0.0
2025-05-12 21:00:00+00:00,0.0
2025-05-12 22:00:00+00:00,0.0
2025-05-12 23:00:00+00:00,0.0
2025-05-13 00:00:00+00:00,0.0
2025-05-13 01:00:00+00:00,0.0
2025-05-13 02:00:00+00:00,0.0
2025-05-13 03:00:00+00:00,0.0
2025-05-13 04:00:00+00:00,0.0
2025-05-13 05:00:00+00:00,0.0
2025-05-13 06:00:00+00:00,2.992093006808061
2025-05-13 07:00:00+00:00,35.1775809113565
2025-05-13 08:00:00+00:00,61.6100259045511
2025-05-13 09:00:00+00:00,66.57345342873937
2025-05-13 10:00:00+00:00,71.99867650798778
2025-05-13 11:00:00+00:00,76.69576643413818
2025-05-13 12:00:00+00:00,80.8525832783225
2025-05-13 13:00:00+00:00,80.35306462456494
2025-05-13 14:00:00+00:00,78.15045520694582
2025-05-13 15:00:00+00:00,76.06261170782544
2025-05-13 16:00:00+00:00,66.0191981738912
2025-05-13 17:00:00+00:00,44.23775558317189
2025-05-13 18:00:00+00:00,8.714629855600199
2025-05-13 19:00:00+00:00,0.0
2025-05-13 20:00:00+00:00,0.0
2025-05-13 21:00:00+00:00,0.0
2025-05-13 22:00:00+00:00,0.0
2025-05-13 23:00:00+00:00,0.0
2025-05-14 00:00:00+00:00,0.0
2025-05-14 01:00:00+00:00,0.0
2025-05-14 02:00:00+00:00,0.0
2025-05-14 03:00:00+00:00,0.0
2025-05-14 04:00:00+00:00,0.0
2025-05-14 05:00:00+00:00,0.0
2025-05-14 06:00:00+00:00,2.961409033715897
2025-05-14 07:00:00+00:00,30.356476514529525
2025-05-14 08:00:00+00:00,60.29301848212316
2025-05-14 09:00:00+00:00,65.95306917002426
2025-05-14 10:00:00+00:00,67.79084739482524
2025-05-14 11:00:00+00:00,74.78412620492394
2025-05-14 12:00:00+00:00,80.30785047651962
2025-05-14 13:00:00+00:00,82.25662353425503
2025-05-14 14:00:00+00:00,81.57232442518601
2025-05-14 15:00:00+00:00,79.68775043410729
2025-05-14 16:00:00+00:00,66.48796052726057
2025-05-14 17:00:00+00:00,44.30514816470022
2025-05-14 18:00:00+00:00,8.469564048507426
2025-05-14 19:00:00+00:00,0.0
2025-05-14 20:00:00+00:00,0.0
2025-05-14 21:00:00+00:00,0.0
2025-05-14 22:00:00+00:00,0.0
2025-05-14 23:00:00+00:00,0.0
2025-05-15 00:00:00+00:00,0.0
2025-05-15 01:00:00+00:00,0.0
2025-05-15 02:00:00+00:00,0.0
2025-05-15 03:00:00+00:00,0.0
2025-05-15 04:00:00+00:00,0.0
2025-05-15 05:00:00+00:00,0.0
2025-05-15 06:00:00+00:00,2.154259860304952
2025-05-15 07:00:00+00:00,22.01805827702804
2025-05-15 08:00:00+00:00,43.990261444677415
2025-05-15 09:00:00+00:00,49.03785555606676
2025-05-15 10:00:00+00:00,55.85577432718241
2025-05-15 11:00:00+00:00,54.94658429018666
2025-05-15 12:00:00+00:00,56.00565872828123
2025-05-15 13:00:00+00:00,56.396854064604376
2025-05-15 14:00:00+00:00,57.690465309227214
2025-05-15 15:00:00+00:00,53.85833793091303
2025-05-15 16:00:00+00:00,51.409831268070164
2025-05-15 17:00:00+00:00,30.567232004605547
2025-05-15 18:00:00+00:00,7.721503055360363
2025-05-15 19:00:00+00:00,0.0
2025-05-15 20:00:00+00:00,0.0
2025-05-15 21:00:00+00:00,0.0
2025-05-15 22:00:00+00:00,0.0
2025-05-15 23:00:00+00:00,0.0
2025-05-16 00:00:00+00:00,0.0
2025-05-16 01:00:00+00:00,0.0
2025-05-16 02:00:00+00:00,0.0
2025-05-16 03:00:00+00:00,0.0
2025-05-16 04:00:00+00:00,0.0
2025-05-16 05:00:00+00:00,0.0
2025-05-16 06:00:00+00:00,4.921890703505515
2025-05-16 07:00:00+00:00,27.031518369450264
2025-05-16 08:00:00+00:00,48.41054548180967
2025-05-16 09:00:00+00:00,57.4880037706396
2025-05-16 10:00:00+00:00,63.11039931814593
2025-05-16 11:00:00+00:00,67.20491119058971
2025-05-16 12:00:00+00:00,70.76635976658231
2025-05-16 13:00:00+00:00,69.71417672164445
2025-05-16 14:00:00+00:00,63.347853728438984
2025-05-16 15:00:00+00:00,53.576684299576826
2025-05-16 16:00:00+00:00,43.17706989650059
2025-05-16 17:00:00+00:00,23.06260721883509
2025-05-16 18:00:00+00:00,5.99607643139043
2025-05-16 19:00:00+00:00,0.0
2025-05-16 20:00:00+00:00,0.0
2025-05-16 21:00:00+00:00,0.0
2025-05-16 22:00:00+00:00,0.0
2025-05-16 23:00:00+00:00,0.0
2025-05-17 00:00:00+00:00,0.0
2025-05-17 01:00:00+00:00,0.0
2025-05-17 02:00:00+00:00,0.0
2025-05-17 03:00:00+00:00,0.0
2025-05-17 04:00:00+00:00,0.0
2025-05-17 05:00:00+00:00,0.0
2025-05-17 06:00:00+00:00,4.917676597842084
2025-05-17 07:00:00+00:00,26.915821401472403
2025-05-17 08:00:00+00:00,47.76894947188073
2025-05-17 09:00:00+00:00,55.84988340378869
2025-05-17 10:00:00+00:00,61.17566649837192
2025-05-17 11:00:00+00:00,67.23310452680056
2025-05-17 12:00:00+00:00,75.66323590294459
2025-05-17 13:00:00+00:00,77.87343157865371
2025-05-17 14:00:00+00:00,78.79568437956294
2025-05-17 15:00:00+00:00,76.08860283098471
2025-05-17 16:00:00+00:00,66.12391563988996
2025-05-17 17:00:00+00:00,45.69544022991252
2025-05-17 18:00:00+00:00,14.611533997490277
2025-05-17 19:00:00+00:00,0.0
2025-05-17 20:00:00+00:00,0.0
2025-05-17 21:00:00+00:00,0.0
2025-05-17 22:00:00+00:00,0.0
2025-05-17 23:00:00+00:00,0.0
2025-05-18 00:00:00+00:00,0.0
2025-05-18 01:00:00+00:00,0.0
2025-05-18 02:00:00+00:00,0.0
2025-05-18 03:00:00+00:00,0.0
2025-05-18 04:00:00+00:00,0.0
2025-05-18 05:00:00+00:00,0.0
2025-05-18 06:00:00+00:00,5.277674224816718
2025-05-18 07:00:00+00:00,27.247765826758656
2025-05-18 08:00:00+00:00,48.7964860442618
2025-05-18 09:00:00+00:00,60.04376963169738
2025-05-18 10:00:00+00:00,64.30365986594003
2025-05-18 11:00:00+00:00,72.63787144534233
2025-05-18 12:00:00+00:00,76.53584724455948
2025-05-18 13:00:00+00:00,77.49104713972011
2025-05-18 14:00:00+00:00,80.02442728489105
2025-05-18 15:00:00+00:00,78.30559749291415
2025-05-18 16:00:00+00:00,69.99228370066497
2025-05-18 17:00:00+00:00,53.27489177044318
2025-05-18 18:00:00+00:00,17.08558469954872
